LGA,Ward,Community Name,Community Code,Planned,Reached,Status
Kware,Bankanu,Shiyar Famai,70111,55,,NOT STARTED
Kware,Basansan,Modawa S Runji,70121,57,,NOT STARTED
Kware,Durbawa,Torankar Dakare Y,70131,58,,NOT STARTED
Kware,Gandu,Ummaruma,70141,43,,NOT STARTED
Kware,Gidan Rugga More,D Maigari,70151,54,,NOT STARTED
Rabah,Gandi 1,Dubbulawa,70211,42,,NOT STARTED
Rabah,Rara,Shiyar Makera,70221,63,,NOT STARTED
Rabah,Rabah,Shiyar Majijira A,70231,77,,NOT STARTED
Rabah,Kurya,Shiyar Dan Hajo,70241,73,,NOT STARTED
Rabah,Maikujera,Shiyar Galadima Kada A,70251,51,,NOT STARTED
Tureta,Tureta,Sabon Fege Tanki,70311,47,,NOT STARTED
Tureta,Furagirke,Shiyar Yamma,70321,43,,NOT STARTED
Tureta,Lofa,Shiyar Galma,70331,43,,NOT STARTED
Tureta,Tsamiya,Shiyar Hakimi Kanwuri,70341,63,,NOT STARTED
Tureta,Lamba Tureta,Shiyar Runji,70351,59,,NOT STARTED
Wamakko,Arkilla,Gidan Salanke,70411,91,,NOT STARTED
Wamakko,Bado,Kasarawa Shiyar Dan Jeka,70421,56,,NOT STARTED
Wamakko,Dundaye,Yarlabe Mahauta,70431,43,,NOT STARTED
Wamakko,Gidan Bubu,Gidan Gajere,70441,50,,NOT STARTED
Wamakko,Gidan Hamidu,Gidan Mala,70451,41,,NOT STARTED
Wurno,Achida,Shiyar Kobi,70511,50,,NOT STARTED
Wurno,Alkammu,Shiyar Kwasau,70521,47,,NOT STARTED
Wurno,Marafa,Gidadawa,70531,58,,NOT STARTED
Wurno,Dinawa,Sarkin Yaki,70541,57,,NOT STARTED
Wurno,Magaryawa,Sabon-Gari Doka,70551,77,,NOT STARTED
Yabo,Bakale,Bakale Shiyar Makaranta,70611,68,,NOT STARTED
Yabo,Bengaje,Dono Shiyar Magaji,70621,66,,NOT STARTED
Yabo,Yabo B,Shiyar Ajiya,70631,81,,NOT STARTED
Yabo,Birniruwa,Shiyar Galoji,70641,49,,NOT STARTED
Yabo,Dagawa,Shiyar Inname,70651,39,,NOT STARTED
